,0
0,0.5373617379720546
1,0.5402195809691852
2,0.5413908321203552
3,0.540888143941289
4,0.5400886589911402
5,0.5406994410363639
6,0.5406503278213304
7,0.5377464778168967
8,0.5397127436218261
9,0.5406427506552218
10,0.5374997295000042
11,0.5364361160639582
12,0.5415527880997661
13,0.5380348660437646
14,0.5377925653524216
15,0.5403334709718279
16,0.5383397929876931
17,0.5398873893914217
18,0.5386202117465193
19,0.5396500646532875
20,0.5412351769877077
21,0.5385016825865906
22,0.5366058027024354
23,0.5396308350117154
24,0.5410822458401701
25,0.538425674426474
26,0.5380382096154326
27,0.5397241337560434
28,0.5413764528978531
29,0.5418084514320436
30,0.5387263008161165
31,0.5386906290267259
32,0.5420351441705381
33,0.5367110914084395
34,0.5370838866809641
35,0.5347944489283042
36,0.5401782324010377
37,0.5412099628835683
38,0.5397070690393446
39,0.5375432452904145
40,0.5411801317632694
41,0.5417730595454794
42,0.5376186786236261
43,0.542644262465916
44,0.5365701893674397
45,0.5413093259846302
46,0.5393800252579102
47,0.5406073861921683
48,0.540710127102017
49,0.5421323532406416
50,0.5376516866227079
51,0.5414882020773614
52,0.5365766787228343
53,0.5403956030724778
54,0.5372776643983396
55,0.5392932063150794
56,0.5424578724241063
57,0.5375047824865339
58,0.5354460055562167
59,0.5388996090640155
60,0.5416902144350195
61,0.5363163824568994
62,0.5410736750350184
63,0.5410462086796812
64,0.5413957409260649
65,0.5428424899225998
66,0.54096671604146
67,0.536468402292173
68,0.5375997555496914
69,0.536235815365229
70,0.5408034456589051
71,0.5416892020952684
72,0.5384748739656331
73,0.541666482561783
74,0.5391070009194331
75,0.5401646836714088
76,0.5423531829383911
77,0.5408332262572716
78,0.5374653274296768
79,0.5378625134788985
80,0.5401362866166611
81,0.5381242540899196
82,0.537988475634498
83,0.5416724403740287
84,0.5363446983278659
85,0.5378089117495989
86,0.535764118587936
87,0.5387106473993597
